epoch,train_loss,val_loss,train_precision,train_recall,val_precision,val_recall,val_mAP50,val_mAP50_95,val_dice_semantic,lr
84,0.347895,0.395771,0.854369,0.828262,0.414670,0.476677,0.425133,0.259522,0.650931,0.000008
85,0.347812,0.396784,0.857386,0.839512,0.411186,0.468079,0.420900,0.251898,0.645014,0.000007
86,0.347732,0.397019,0.860381,0.841407,0.407426,0.467958,0.421224,0.254557,0.643158,0.000006
87,0.347855,0.396480,0.865445,0.841423,0.422581,0.471531,0.426956,0.254328,0.647216,0.000006
88,0.347856,0.395715,0.866530,0.844601,0.415848,0.475598,0.427334,0.261078,0.651407,0.000005
89,0.347722,0.396176,0.861296,0.842647,0.417978,0.477871,0.429681,0.259125,0.649308,0.000004
90,0.347665,0.396495,0.865018,0.846448,0.421616,0.476345,0.428360,0.251813,0.647202,0.000004
91,0.347523,0.395778,0.858128,0.840755,0.418994,0.475888,0.427134,0.260533,0.650780,0.000003
92,0.347688,0.396179,0.863805,0.845186,0.418910,0.474839,0.426227,0.256266,0.648443,0.000003
93,0.347641,0.396253,0.863511,0.847349,0.418336,0.472871,0.425076,0.253389,0.648050,0.000003
94,0.347624,0.395979,0.865574,0.854484,0.420009,0.477628,0.429445,0.256541,0.649755,0.000002
95,0.347578,0.396097,0.869193,0.849280,0.416928,0.474608,0.426213,0.255850,0.649126,0.000002
96,0.347579,0.396211,0.864822,0.853721,0.417748,0.473821,0.425907,0.255016,0.648333,0.000002
97,0.347624,0.396018,0.860101,0.845829,0.416458,0.473817,0.423867,0.256042,0.649511,0.000001
98,0.347349,0.396043,0.865264,0.854009,0.420629,0.476268,0.427265,0.256513,0.649403,0.000001
