model,split,source,class,AP50,AP50_95,precision,recall,iou,dice
sam3_yolobox,test,reported,medial pterygoid muscle,n/p,n/p,n/p,n/p,n/p,n/p
sam3_yolobox,test,reported,monopolar,n/p,n/p,n/p,n/p,n/p,n/p
sam3_yolobox,test,reported,parapharyngeal fat,n/p,n/p,n/p,n/p,n/p,n/p
sam3_yolobox,test,reported,posterior pharyngeal wall,n/p,n/p,n/p,n/p,n/p,n/p
sam3_yolobox,test,reported,prevertebral fascia,n/p,n/p,n/p,n/p,n/p,n/p
sam3_yolobox,test,reported,soft palate,n/p,n/p,n/p,n/p,n/p,n/p
sam3_yolobox,test,reported,suction,n/p,n/p,n/p,n/p,n/p,n/p
sam3_yolobox,test,recomputed,base of tongue,0.423556,0.279921,0.785195,0.365644,0.813014,0.891709
sam3_yolobox,test,recomputed,bipolar,0.504950,0.504950,1.000000,0.000000,0.969060,0.984282
sam3_yolobox,test,recomputed,bot,1.000000,0.806366,0.982678,1.000000,0.896027,0.945157
sam3_yolobox,test,recomputed,cut,0.616013,0.116384,0.634494,0.733813,0.589054,0.739430
sam3_yolobox,test,recomputed,endotracheal tube,1.000000,0.902700,1.000000,0.999747,0.934405,0.966018
sam3_yolobox,test,recomputed,ligasure,0.000000,0.000000,n/p,0.000000,n/p,n/p
sam3_yolobox,test,recomputed,maryland,0.433822,0.293859,0.418084,0.696552,0.848114,0.914434
sam3_yolobox,test,recomputed,medial pterygoid muscle,0.691843,0.418307,0.987778,0.672131,0.803510,0.889551
sam3_yolobox,test,recomputed,monopolar,0.357145,0.305673,0.330243,0.439024,0.905657,0.949658
sam3_yolobox,test,recomputed,parapharyngeal fat,0.779419,0.452536,0.968991,0.694541,0.789062,0.880467
sam3_yolobox,test,recomputed,posterior pharyngeal wall,0.435208,0.196257,0.623750,0.296296,0.748621,0.851623
sam3_yolobox,test,recomputed,prevertebral fascia,0.000000,0.000000,0.000000,0.000000,n/p,n/p
sam3_yolobox,test,recomputed,soft palate,0.184054,0.130290,0.452453,0.261745,0.854091,0.918149
sam3_yolobox,test,recomputed,suction,0.558768,0.425690,0.336031,0.846154,0.868704,0.927254
sam3_gtbox,test,reported,base of tongue,0.984757,0.734053,n/p,n/p,0.848900,0.916200
sam3_gtbox,test,reported,bipolar,0.995000,0.791554,n/p,n/p,0.887900,0.938500
sam3_gtbox,test,reported,bot,0.995000,0.814516,n/p,n/p,0.897400,0.945900
sam3_gtbox,test,reported,cut,0.995000,0.449773,n/p,n/p,0.709100,0.828000
sam3_gtbox,test,reported,endotracheal tube,0.995000,0.904879,n/p,n/p,0.932800,0.965200
sam3_gtbox,test,reported,ligasure,0.995000,0.776583,n/p,n/p,0.862700,0.925600
sam3_gtbox,test,reported,maryland,0.953869,0.732922,n/p,n/p,0.850400,0.910600
sam3_gtbox,test,reported,medial pterygoid muscle,0.995000,0.584375,n/p,n/p,0.778000,0.872800
sam3_gtbox,test,reported,monopolar,0.988710,0.789168,n/p,n/p,0.855300,0.914300
sam3_gtbox,test,reported,parapharyngeal fat,0.995000,0.598605,n/p,n/p,0.791600,0.881200
sam3_gtbox,test,reported,posterior pharyngeal wall,0.981272,0.678914,n/p,n/p,0.830400,0.904300
sam3_gtbox,test,reported,prevertebral fascia,0.995000,0.696500,n/p,n/p,0.812700,0.896700
sam3_gtbox,test,reported,soft palate,0.683728,0.450231,n/p,n/p,0.645400,0.704900
sam3_gtbox,test,reported,suction,0.961785,0.701020,n/p,n/p,0.850000,0.913000
sam3_gtbox,test,recomputed,base of tongue,0.973692,0.701192,0.985714,0.985714,0.854190,0.920020
sam3_gtbox,test,recomputed,bipolar,1.000000,0.741955,1.000000,1.000000,0.888793,0.939040
sam3_gtbox,test,recomputed,bot,1.000000,0.810269,1.000000,1.000000,0.897270,0.945846
sam3_gtbox,test,recomputed,cut,1.000000,0.427866,1.000000,1.000000,0.712163,0.830110
sam3_gtbox,test,recomputed,endotracheal tube,1.000000,0.902475,1.000000,1.000000,0.932732,0.965129
sam3_gtbox,test,recomputed,ligasure,1.000000,0.723762,1.000000,1.000000,0.862429,0.925420
sam3_gtbox,test,recomputed,maryland,0.951371,0.692092,0.965517,0.965517,0.869867,0.928123
sam3_gtbox,test,recomputed,medial pterygoid muscle,1.000000,0.574934,1.000000,1.000000,0.778116,0.872846
sam3_gtbox,test,recomputed,monopolar,0.976213,0.695532,0.987805,0.987805,0.865872,0.924850
sam3_gtbox,test,recomputed,parapharyngeal fat,1.000000,0.549323,1.000000,1.000000,0.789970,0.880093
sam3_gtbox,test,recomputed,posterior pharyngeal wall,0.978365,0.673072,0.987654,0.987654,0.835769,0.908469
sam3_gtbox,test,recomputed,prevertebral fascia,1.000000,0.700000,1.000000,1.000000,0.813479,0.897147
sam3_gtbox,test,recomputed,soft palate,0.734728,0.474307,0.771812,0.771812,0.827402,0.901330
sam3_gtbox,test,recomputed,suction,0.961388,0.694639,0.974359,0.974359,0.861157,0.921409
monai,test,reported,base of tongue,n/p,n/p,n/p,n/p,n/p,n/p
monai,test,reported,bipolar,n/p,n/p,n/p,n/p,n/p,n/p
monai,test,reported,bot,n/p,n/p,n/p,n/p,n/p,n/p
monai,test,reported,cut,n/p,n/p,n/p,n/p,n/p,n/p
monai,test,reported,endotracheal tube,n/p,n/p,n/p,n/p,n/p,n/p
monai,test,reported,ligasure,n/p,n/p,n/p,n/p,n/p,n/p
monai,test,reported,maryland,n/p,n/p,n/p,n/p,n/p,n/p
monai,test,reported,medial pterygoid muscle,n/p,n/p,n/p,n/p,n/p,n/p
monai,test,reported,monopolar,n/p,n/p,n/p,n/p,n/p,n/p
monai,test,reported,parapharyngeal fat,n/p,n/p,n/p,n/p,n/p,n/p
monai,test,reported,posterior pharyngeal wall,n/p,n/p,n/p,n/p,n/p,n/p
monai,test,reported,prevertebral fascia,n/p,n/p,n/p,n/p,n/p,n/p
monai,test,reported,soft palate,n/p,n/p,n/p,n/p,n/p,n/p
monai,test,reported,suction,n/p,n/p,n/p,n/p,n/p,n/p
monai,test,recomputed,base of tongue,0.022948,0.004459,0.031548,0.057143,0.583723,0.736195
monai,test,recomputed,bipolar,0.957530,0.719740,0.863092,1.000000,0.859375,0.922140
monai,test,recomputed,bot,1.000000,0.710376,0.513898,1.000000,0.837183,0.911337
monai,test,recomputed,cut,0.460516,0.149603,0.843577,0.426801,0.658656,0.791952
monai,test,recomputed,endotracheal tube,0.683168,0.351209,0.877920,0.687500,0.728026,0.841490
monai,test,recomputed,ligasure,0.000000,0.000000,n/p,0.000000,n/p,n/p
monai,test,recomputed,maryland,0.390800,0.216712,0.227767,0.558621,0.763154,0.859433
monai,test,recomputed,medial pterygoid muscle,0.580836,0.295900,0.451722,0.606557,0.739482,0.846745
monai,test,recomputed,monopolar,0.390134,0.285525,0.152018,0.414634,0.835620,0.905935
monai,test,recomputed,parapharyngeal fat,0.781973,0.354174,0.512210,0.800000,0.711001,0.828379
monai,test,recomputed,posterior pharyngeal wall,0.358859,0.071533,0.235950,0.530864,0.594981,0.742828
monai,test,recomputed,prevertebral fascia,0.000000,0.000000,n/p,0.000000,n/p,n/p
monai,test,recomputed,soft palate,0.282612,0.205218,0.200077,0.395973,0.817491,0.896105
monai,test,recomputed,suction,0.447180,0.262647,0.189888,0.641026,0.761395,0.860864
